instrument,gate_median_ms,tau_ms,policy,rejection_mode,timeout_rate,baseline_pnl_bps,gated_pnl_bps,net_impact_bps,n_foregone,bps_foregone,n_avoided,bps_avoided,n_scaled_timeout,bps_scaled_timeout_repricing_impact,covid_net_impact_bps,own_stress_net_impact_bps,rest_net_impact_bps
SPXUSD,30.0,10.0,H,uninformed,0.8814616755793226,-3453.900166906212,-1016.4507862320484,2437.4493806741625,273,36197.141941992486,719,38634.59704955582,,,713.9000596718462,664.9861455695635,1058.5631754327533
SPXUSD,30.0,10.0,H,informed,0.8814616755793226,-3453.900166906212,-494.2439421109318,2959.6562247952793,271,36091.050930340716,720,39050.709783093946,,,928.3146636966379,868.9771632397607,1162.3643978588807
SPXUSD,30.0,10.0,S,uninformed,0.8814616755793226,-3453.900166906212,-2287.098401117347,1166.8017657888643,2,106.09101165177596,1,2.2897770713939822,989.0,-0.019443813440580812,356.9543776803783,332.4905225495491,477.3568655589372
SPXUSD,30.0,10.0,S,informed,0.8814616755793226,-3453.900166906212,-1764.8915569962296,1689.008609909981,0,0.0,2,418.40251060951914,989.0,-0.019443813440580812,571.36898170517,536.4815402197462,581.1580879850649
SPXUSD,30.0,25.0,H,uninformed,0.5632798573975044,-3453.900166906212,-3147.7345411592573,306.1656257469534,175,24774.13968855993,463,25080.35048354734,,,-326.24313777313836,400.1718202684313,232.23694325166025
SPXUSD,30.0,25.0,H,informed,0.5632798573975044,-3453.900166906212,-1054.087953665417,2399.812213240794,173,24668.04867690816,468,27067.8912203629,,,964.853879809226,1109.585797394894,325.37253603667364
SPXUSD,30.0,25.0,S,uninformed,0.5632798573975044,-3453.900166906212,-3274.9197415874933,178.98042531871772,2,106.09101165177596,4,157.96586167507445,632.0,-0.017227946183229682,-163.10573361278253,200.08274901691436,142.00340991458552
SPXUSD,30.0,25.0,S,informed,0.5632798573975044,-3453.900166906212,-1181.273154093653,2272.6270128125584,0,0.0,9,2145.506598490638,632.0,-0.017227946183229682,1127.9912839695814,909.496726143377,235.1390026995992
SPXUSD,30.0,50.0,H,uninformed,0.3244206773618538,-3453.900166906212,-2645.402998340238,808.4971685659718,110,13291.508580372276,269,14100.154389946989,,,-811.0827118278961,-60.143168165698924,1679.7230485595667
SPXUSD,30.0,50.0,H,informed,0.3244206773618538,-3453.900166906212,921.9761424336593,4375.87630933987,106,13092.59365995721,273,17468.594561321595,,,2080.418970889723,649.2708089607638,1646.1865294893837
SPXUSD,30.0,50.0,S,uninformed,0.3244206773618538,-3453.900166906212,-2879.0547100750614,574.8454568311497,4,198.91492041506513,11,540.1661883027616,364.0,0.045559108686886035,-405.50378503082055,-30.075393979276853,1010.4246358412472
SPXUSD,30.0,50.0,S,informed,0.3244206773618538,-3453.900166906212,688.3244306988365,4142.224597605048,0,0.0,15,3908.6063596773683,364.0,0.045559108686886035,2485.9978976867983,679.3385831471859,976.8881167710639
SPXUSD,30.0,100.0,H,uninformed,0.13636363636363635,-3453.900166906212,-2722.2687586316615,731.6314082745505,50,5876.799359714908,120,6608.467175380598,,,310.1762794898448,-104.65246042581019,526.107589210516
SPXUSD,30.0,100.0,H,informed,0.13636363636363635,-3453.900166906212,1348.5801562133092,4802.48032311952,46,5677.884439299842,126,10480.425269085212,,,3591.1932636754655,604.7615167006526,606.5255427434021
SPXUSD,30.0,100.0,S,uninformed,0.13636363636363635,-3453.900166906212,-2703.6741622966474,750.2260046095635,4,198.91492041506513,13,967.8782928435612,153.0,-0.05318204638956808,351.4496256934078,-52.32841955197061,451.104798468126
SPXUSD,30.0,100.0,S,informed,0.13636363636363635,-3453.900166906212,1367.174752548322,4821.074919454533,0,0.0,19,4839.836386548172,153.0,-0.05318204638956808,3632.466609879029,657.0855575744921,531.5227520010126
SPXUSD,30.0,250.0,H,uninformed,0.016042780748663103,-3453.900166906212,-2366.9390437907236,1086.961123115487,9,687.8571363118168,28,1774.92145083782,,,392.7330694247609,103.92838551504784,590.2996681756782
SPXUSD,30.0,250.0,H,informed,0.016042780748663103,-3453.900166906212,2165.665009855383,5619.565176761594,5,488.9422158967516,35,6108.633638267365,,,3673.7500536103817,813.3423626415106,1132.4727605097016
SPXUSD,30.0,250.0,S,uninformed,0.016042780748663103,-3453.900166906212,-2492.9711093958017,960.92905751041,4,198.91492041506513,15,1034.0331709362051,18.0,-0.05903360264549917,392.7330694247609,51.96316878764438,516.2328192980046
SPXUSD,30.0,250.0,S,informed,0.016042780748663103,-3453.900166906212,2039.6329442503052,5493.5331111565165,0,0.0,22,5367.74535836575,18.0,-0.05903360264549917,3673.7500536103817,761.3771459141071,1058.405911632028
SPXUSD,150.0,10.0,H,uninformed,0.9955436720142602,-3453.900166906212,75.78013600339078,3529.6803029096022,305,39757.86488993517,812,43287.54330325899,,,1040.3243716084498,955.8032182652181,1533.5527130359344
SPXUSD,150.0,10.0,H,informed,0.9955436720142602,-3453.900166906212,75.78013600339078,3529.6803029096022,305,39757.86488993517,812,43287.54330325899,,,1040.3243716084498,955.8032182652181,1533.5527130359344
SPXUSD,150.0,10.0,S,uninformed,0.9955436720142602,-3453.900166906212,-1689.080397679119,1764.8197692270915,0,0.0,0,0.0,1117.0,-0.021327020599767585,520.1669609728094,477.89935396591596,766.7534542883666
SPXUSD,150.0,10.0,S,informed,0.9955436720142602,-3453.900166906212,-1689.080397679119,1764.8197692270915,0,0.0,0,0.0,1117.0,-0.021327020599767585,520.1669609728094,477.89935396591596,766.7534542883666
SPXUSD,150.0,25.0,H,uninformed,0.964349376114082,-3453.900166906212,779.5043192549581,4233.404486161169,292,38117.44297061636,790,42350.83832215533,,,928.3172332155938,955.8032182652181,2349.2840346803578
SPXUSD,150.0,25.0,H,informed,0.964349376114082,-3453.900166906212,779.5043192549581,4233.404486161169,292,38117.44297061636,790,42350.83832215533,,,928.3172332155938,955.8032182652181,2349.2840346803578
SPXUSD,150.0,25.0,S,uninformed,0.964349376114082,-3453.900166906212,-1337.2532561227003,2116.6469107835105,0,0.0,0,0.0,1082.0,-0.05989960817173882,464.1701646227614,477.89597121587576,1174.5807749448727
SPXUSD,150.0,25.0,S,informed,0.964349376114082,-3453.900166906212,-1337.2532561227003,2116.6469107835105,0,0.0,0,0.0,1082.0,-0.05989960817173882,464.1701646227614,477.89597121587576,1174.5807749448727
SPXUSD,150.0,50.0,H,uninformed,0.8814616755793226,-3453.900166906212,-1016.473696548545,2437.4264703576655,273,36197.141941992486,719,38634.59704955582,,,713.8905672117477,664.9883837309264,1058.5475194149917
SPXUSD,150.0,50.0,H,informed,0.8814616755793226,-3453.900166906212,-494.2544559653119,2959.645710940899,271,36091.050930340716,720,39050.709783093946,,,928.3172332155938,868.979784406823,1162.3486933184822
SPXUSD,150.0,50.0,S,uninformed,0.8814616755793226,-3453.900166906212,-2287.199086687615,1166.7010802185955,2,106.09101165177596,1,2.2897770713939822,989.0,-0.09721906721280019,356.96702259648396,332.4814401373277,477.2526174847845
