instrument,window_type,start_date,end_date
SPXUSD,covid,2020-02-15,2020-04-15
SPXUSD,own_stress,2020-03-03,2020-05-10
SPXUSD,own_stress,2020-06-25,2020-07-03
SPXUSD,own_stress,2022-11-11,2022-11-21
SPXUSD,own_stress,2025-04-07,2025-05-04
USDJPY,covid,2020-02-15,2020-04-15
USDJPY,own_stress,2020-03-11,2020-04-10
USDJPY,own_stress,2022-08-11,2022-08-24
USDJPY,own_stress,2022-11-11,2022-12-04
USDJPY,own_stress,2022-12-16,2023-01-12
USDJPY,own_stress,2024-08-21,2024-08-23
USDJPY,own_stress,2025-04-11,2025-05-02
XAUUSD,covid,2020-02-15,2020-04-15
XAUUSD,own_stress,2020-03-16,2020-04-12
XAUUSD,own_stress,2020-08-18,2020-09-03
XAUUSD,own_stress,2025-10-22,2025-11-09
XAUUSD,own_stress,2026-02-01,2026-03-02
XAUUSD,own_stress,2026-04-01,2026-04-20
ETHUSD,covid,2020-02-15,2020-04-15
ETHUSD,own_stress,2020-03-13,2020-04-12
ETHUSD,own_stress,2021-01-04,2021-02-14
ETHUSD,own_stress,2021-05-20,2021-06-16
ETHUSD,own_stress,2022-11-11,2022-12-01
